ltable_title,rtable_title,ltable_authors,rtable_authors,ltable_keywords,rtable_keywords,_id
heterogeneous graph attention networks for semi-supervised short text classification,what do hotel customers complain about? text analysis using structural topic model,h linmei; t yang; c shi; h ji; x li,n hu; t zhang; b gao; i bose,"Heterogeneous Graph Attention Networks, Semi-supervised Short Text Classification",Online hotel reviews Customer dissatisfaction Structural topic model Text mining Tripadviso,680
"real-time crash prediction models: state-of-the-art, design pathways and ubiquitous requirements",social media mining for product planning: a product opportunity mining approach based on topic modeling and sentiment analysis,m hossain; m abdel-aty; ma quddus,b jeong; j yoon; jm lee,ITS Real-time crash prediction model Design pathway Universal design requirements,Product opportunity New product development Social media mining Opportunity algorithm Topic modeling Sentiment analysis,956
topic compositional neural language model,topic modeling in embedding spaces,w wang; z gan; w wang; d shen,ab dieng; fjr ruiz; dm blei,"Neural Language Model, Topic Compositional, Topic Modeling","Embeeding Space, Topic Modeling",1189
applying lda topic modeling in communication research: toward a valid and reliable methodology,"network-oriented modeling for adaptive networks: designing higher-order adaptive biological, mental and social network models",d maier; a waldherr; p miltner,j treur,"Content analysis, Communication research methods, Validity, Reliability, Textual analysis","Topic modeling, Network-Oriented Modeling, Adaptive Network",162
"network-oriented modeling for adaptive networks: designing higher-order adaptive biological, mental and social network models","trends and trajectories for explainable, accountable and intelligible systems: an hci research agenda",j treur,a abdul; j vermeulen; d wang; by lim,"Topic modeling, Network-Oriented Modeling, Adaptive Network",Intelligibility; explanations; explainable artificial intelligence; interpretable machine learning.,821
"latent dirichlet allocation (lda) and topic modeling: models, applications, a survey","read, watch, listen, and summarize: multi-modal summarization for asynchronous text, image, audio and video",h jelodar; y wang; c yuan; x feng; x jiang,h li; j zhu; c ma; j zhang,"Topic modeling, Latent Dirichlet allocation, Tag recommendation, Semantic web, Gibbs sampling","Summarization, Multimedia, Multi-modal, Cross-modal, Natural language processing, Computer vision",705
"social media analytics–challenges in topic discovery, data collection, and data preparation",what is wrong with topic modeling? and how to fix it using search-based software engineering,s stieglitz; m mirbabaie; b ross,a agrawal; w fu; t menzies,Social media analytics Social media Information systems Big data,"Topic modeling, Stability, LDA, tuning, differential evolution",1041
policy diffusion: the issue‐definition stage,the utility of topic modelling for discourse studies: a critical evaluation,f gilardi; cr shipan; b wüest,g brookes; t mcenery,"Policy Diffusion, Topic Modeling, Definion Stage","Corpus linguistics, corpus-assisted discourse studies, latent Dirichlet allocation, patient feedback, topic modelling",877
policy diffusion: the issue‐definition stage,short-text topic modeling via non-negative matrix factorization enriched with local word-context correlations,f gilardi; cr shipan; b wüest,t shi; k kang; j choo; ck reddy,"Policy Diffusion, Topic Modeling, Definion Stage","Topic modeling, short texts, non-negative matrix factorization, word embedding",895
public perception of the covid-19 pandemic on twitter: sentiment analysis and topic modeling study,short-text topic modeling via non-negative matrix factorization enriched with local word-context correlations,s boon-itt; y skunkan,t shi; k kang; j choo; ck reddy,COVID-19; Twitter; social media; infoveillance; infodemiology; infodemic; data; health informatics; mining; perception; topic modeling,"Topic modeling, short texts, non-negative matrix factorization, word embedding",913
what do hotel customers complain about? text analysis using structural topic model,cistopic: cis-regulatory topic modeling on single-cell atac-seq data,n hu; t zhang; b gao; i bose,c bravo gonzález-blas; l minnoye; d papasokrati,Online hotel reviews Customer dissatisfaction Structural topic model Text mining Tripadviso,"cis-Regulator, topic modeling",1223
applying lda topic modeling in communication research: toward a valid and reliable methodology,using social media to mine and analyze public opinion related to covid-19 in china,d maier; a waldherr; p miltner,x han; j wang; m zhang; x wang,"Content analysis, Communication research methods, Validity, Reliability, Textual analysis",coronavirus; COVID-19; social media; public opinion; China; resource allocation,152
text similarity in vector space models: a comparative study,topic modeling in embedding spaces,o shahmirzadi; a lugowski,ab dieng; fjr ruiz; dm blei,"text similarity, vector space model, text embedding, patent, big data","Embeeding Space, Topic Modeling",1120
text mining in organizational research,topic modeling in embedding spaces,vb kobayashi; st mol; ha berkers,ab dieng; fjr ruiz; dm blei,"text mining, dimensionality reduction, clustering, topic modeling, classification, validation, job analysis","Embeeding Space, Topic Modeling",1106
diachronic word embeddings and semantic shifts: a survey,"network-oriented modeling for adaptive networks: designing higher-order adaptive biological, mental and social network models",a kutuzov; l øvrelid; t szymanski; e velldal,j treur,"Word Embedding, Semantic Shift, Topic Modelling ","Topic modeling, Network-Oriented Modeling, Adaptive Network",509
applications of deep learning in stock market prediction: recent progress,social media mining for product planning: a product opportunity mining approach based on topic modeling and sentiment analysis,w jiang,b jeong; j yoon; jm lee,Stock market prediction Deep learning Machine learning Feedforward neural network Convolutional neural network Recurrent neural network ,Product opportunity New product development Social media mining Opportunity algorithm Topic modeling Sentiment analysis,111
aspect-aware latent factor model: rating prediction with ratings and reviews,stm: an r package for structural topic models,z cheng; y ding; l zhu; m kankanhalli,me roberts; bm stewart; d tingley,"Aspect-aware, Matrix Factorization, Recommendation, Review-aware, Topic Model","Structural Topic Model, Topic Modeling, Text Classifications",226
text mining in organizational research,what do hotel customers complain about? text analysis using structural topic model,vb kobayashi; st mol; ha berkers,n hu; t zhang; b gao; i bose,"text mining, dimensionality reduction, clustering, topic modeling, classification, validation, job analysis",Online hotel reviews Customer dissatisfaction Structural topic model Text mining Tripadviso,1114
no longer lost in translation: evidence that google translate works for comparative bag-of-words text applications,research trends on big data in marketing: a text mining and topic modeling based literature analysis,e de vries; m schoonvelde; g schumacher,a amado; p cortez; p rita; s moro,"automated content analysis, statistical analysis of texts, bag-of-words models, Google Translate, LDA",Big data Marketing Literature analysis Research trends Text mining,851
applications of deep learning in stock market prediction: recent progress,"real-time crash prediction models: state-of-the-art, design pathways and ubiquitous requirements",w jiang,m hossain; m abdel-aty; ma quddus,Stock market prediction Deep learning Machine learning Feedforward neural network Convolutional neural network Recurrent neural network ,ITS Real-time crash prediction model Design pathway Universal design requirements,103
deep sentiment classification and topic discovery on novel coronavirus or covid-19 online discussions: nlp using lstm recurrent neural network approach,"latent dirichlet allocation (lda) and topic modeling: models, applications, a survey",h jelodar; y wang; r orji,h jelodar; y wang; c yuan; x feng; x jiang,"Coronavirus, COVID-19, Natural Language Processing, Topic modeling, Deep Learning","Topic modeling, Latent Dirichlet allocation, Tag recommendation, Semantic web, Gibbs sampling",421
deep sentiment classification and topic discovery on novel coronavirus or covid-19 online discussions: nlp using lstm recurrent neural network approach,what do hotel customers complain about? text analysis using structural topic model,h jelodar; y wang; r orji,n hu; t zhang; b gao; i bose,"Coronavirus, COVID-19, Natural Language Processing, Topic modeling, Deep Learning",Online hotel reviews Customer dissatisfaction Structural topic model Text mining Tripadviso,419
"real-time crash prediction models: state-of-the-art, design pathways and ubiquitous requirements",top concerns of tweeters during the covid-19 pandemic: infoveillance study,m hossain; m abdel-aty; ma quddus,a abd-alrazaq; d alhuwail; m househ; m hamdi,ITS Real-time crash prediction model Design pathway Universal design requirements,"coronavirus, COVID-19; SARS-CoV-2 (144); 2019-nCov (8); social media (329); public health (216); Twitter (67); infoveillance (78); infodemiology (134); health informatics (20); disease surveillance (7) ",967
framing covid-19: how we conceptualize and discuss the pandemic on twitter,"network-oriented modeling for adaptive networks: designing higher-order adaptive biological, mental and social network models",p wicke; mm bolognesi,j treur,"Coronavirus, COVID-19, Natural Language Processing, Topic modeling, Deep Learning","Topic modeling, Network-Oriented Modeling, Adaptive Network",624
facebook language predicts depression in medical records,"read, watch, listen, and summarize: multi-modal summarization for asynchronous text, image, audio and video",jc eichstaedt; rj smith,h li; j zhu; c ma; j zhang,"big data, depression, social media, Facebook, screening","Summarization, Multimedia, Multi-modal, Cross-modal, Natural language processing, Computer vision",586
stm: an r package for structural topic models,toward understanding the topical structure of hospitality literature: applying machine learning and traditional statistics,me roberts; bm stewart; d tingley,e park; b chae; j kwon,"Structural Topic Model, Topic Modeling, Text Classifications","topical structure modeling, topic modeling",1084
public perception of the covid-19 pandemic on twitter: sentiment analysis and topic modeling study,"the mythos of model interpretability: in machine learning, the concept of interpretability is both important and slippery.",s boon-itt; y skunkan,zc lipton,COVID-19; Twitter; social media; infoveillance; infodemiology; infodemic; data; health informatics; mining; perception; topic modeling,"Machine larning, Model Interpretability",919
heterogeneous graph attention networks for semi-supervised short text classification,"trends and trajectories for explainable, accountable and intelligible systems: an hci research agenda",h linmei; t yang; c shi; h ji; x li,a abdul; j vermeulen; d wang; by lim,"Heterogeneous Graph Attention Networks, Semi-supervised Short Text Classification",Intelligibility; explanations; explainable artificial intelligence; interpretable machine learning.,672
applications of deep learning in stock market prediction: recent progress,short-text topic modeling via non-negative matrix factorization enriched with local word-context correlations,w jiang,t shi; k kang; j choo; ck reddy,Stock market prediction Deep learning Machine learning Feedforward neural network Convolutional neural network Recurrent neural network ,"Topic modeling, short texts, non-negative matrix factorization, word embedding",119
analyst information discovery and interpretation roles: a topic modeling approach,applying lda topic modeling in communication research: toward a valid and reliable methodology,ah huang; r lehavy; ay zang,d maier; a waldherr; p miltner,"analysts, discovery, interpretation, topic modeling, latent Dirichlet allocation","Content analysis, Communication research methods, Validity, Reliability, Textual analysis",53
applying lda topic modeling in communication research: toward a valid and reliable methodology,what do hotel customers complain about? text analysis using structural topic model,d maier; a waldherr; p miltner,n hu; t zhang; b gao; i bose,"Content analysis, Communication research methods, Validity, Reliability, Textual analysis",Online hotel reviews Customer dissatisfaction Structural topic model Text mining Tripadviso,151
"deep learning: a comprehensive overview on techniques, taxonomy, applications and research directions",stm: an r package for structural topic models,ih sarker,me roberts; bm stewart; d tingley,"Deep learning, Artifcial neural network, Artifcial intelligence, Discriminative learning, Generative learning, Hybrid learning, Intelligent systems","Structural Topic Model, Topic Modeling, Text Classifications",403
toward understanding the topical structure of hospitality literature: applying machine learning and traditional statistics,"trends and trajectories for explainable, accountable and intelligible systems: an hci research agenda",e park; b chae; j kwon,a abdul; j vermeulen; d wang; by lim,"topical structure modeling, topic modeling",Intelligibility; explanations; explainable artificial intelligence; interpretable machine learning.,1213
aspect-aware latent factor model: rating prediction with ratings and reviews,calibration: the achilles heel of predictive analytics,z cheng; y ding; l zhu; m kankanhalli,ben van calster; david j mcleron,"Aspect-aware, Matrix Factorization, Recommendation, Review-aware, Topic Model","Calibration, Risk prediction models, Predictive analytics, Overfitting, Heterogeneity, Model performance",207
the effect of online reviews on product sales: a joint sentiment-topic analysis,top concerns of tweeters during the covid-19 pandemic: infoveillance study,x li; c wu; f mai,a abd-alrazaq; d alhuwail; m househ; m hamdi,"eWOM, electronic word-of-mouth, star rating, textual sentiment, topical sentiment, product reviews, sales, joint sentiment-topic analysis, JST, mediation analysis","coronavirus, COVID-19; SARS-CoV-2 (144); 2019-nCov (8); social media (329); public health (216); Twitter (67); infoveillance (78); infodemiology (134); health informatics (20); disease surveillance (7) ",1158
academic influence aware and multidimensional network analysis for research collaboration navigation based on scholarly big data,"benchmarking zero-shot text classification: datasets, evaluation and entailment approach",x zhou; w liang; i kevin; k wang,w yin; j hay; d roth,"Multidimensional network analysis, academic influence, scholarly big data, scholarly recommendation, research collaboration","Classification, Topic Modelling, Zero-shot text",8
"sharp nearby, fuzzy far away: how neural language models use context",topic modeling in embedding spaces,u khandelwal; h he; p qi; d jurafsky,ab dieng; fjr ruiz; dm blei,"Fuzzy, Topic Modelling, Neutral Language Model","Embeeding Space, Topic Modeling",1014
detecting latent topics and trends in educational technologies over four decades using structural topic modeling: a retrospective of all volumes of computers …,public perception of the covid-19 pandemic on twitter: sentiment analysis and topic modeling study,x chen; d zou; g cheng; h xie,s boon-itt; y skunkan,Applications in subject areas Data science applications in education,COVID-19; Twitter; social media; infoveillance; infodemiology; infodemic; data; health informatics; mining; perception; topic modeling,452
automated phrase mining from massive text corpora,diachronic word embeddings and semantic shifts: a survey,j shang; j liu; m jiang; x ren,a kutuzov; l øvrelid; t szymanski; e velldal,"Automatic phrase mining, phrase mining, distant training, part-of-speech tag, multiple languages","Word Embedding, Semantic Shift, Topic Modelling ",253
policy diffusion: the issue‐definition stage,research trends on big data in marketing: a text mining and topic modeling based literature analysis,f gilardi; cr shipan; b wüest,a amado; p cortez; p rita; s moro,"Policy Diffusion, Topic Modeling, Definion Stage",Big data Marketing Literature analysis Research trends Text mining,896
stm: an r package for structural topic models,topic compositional neural language model,me roberts; bm stewart; d tingley,w wang; z gan; w wang; d shen,"Structural Topic Model, Topic Modeling, Text Classifications","Neural Language Model, Topic Compositional, Topic Modeling",1072
policy diffusion: the issue‐definition stage,topic compositional neural language model,f gilardi; cr shipan; b wüest,w wang; z gan; w wang; d shen,"Policy Diffusion, Topic Modeling, Definion Stage","Neural Language Model, Topic Compositional, Topic Modeling",880
the effect of online reviews on product sales: a joint sentiment-topic analysis,topic compositional neural language model,x li; c wu; f mai,w wang; z gan; w wang; d shen,"eWOM, electronic word-of-mouth, star rating, textual sentiment, topical sentiment, product reviews, sales, joint sentiment-topic analysis, JST, mediation analysis","Neural Language Model, Topic Compositional, Topic Modeling",1156
framing covid-19: how we conceptualize and discuss the pandemic on twitter,heterogeneous graph attention networks for semi-supervised short text classification,p wicke; mm bolognesi,h linmei; t yang; c shi; h ji; x li,"Coronavirus, COVID-19, Natural Language Processing, Topic modeling, Deep Learning","Heterogeneous Graph Attention Networks, Semi-supervised Short Text Classification",623
calibration: the achilles heel of predictive analytics,mapping the anti-vaccination movement on facebook,ben van calster; david j mcleron,n smith; t graham,"Calibration, Risk prediction models, Predictive analytics, Overfitting, Heterogeneity, Model performance",Anti-vaccination; social network analysis; topic modelling; social network sites; social media,345
social media mining for product planning: a product opportunity mining approach based on topic modeling and sentiment analysis,the effect of online reviews on product sales: a joint sentiment-topic analysis,b jeong; j yoon; jm lee,x li; c wu; f mai,Product opportunity New product development Social media mining Opportunity algorithm Topic modeling Sentiment analysis,"eWOM, electronic word-of-mouth, star rating, textual sentiment, topical sentiment, product reviews, sales, joint sentiment-topic analysis, JST, mediation analysis",1054
automated phrase mining from massive text corpora,"don't give me the details, just the summary! topic-aware convolutional neural networks for extreme summarization",j shang; j liu; m jiang; x ren,s narayan; sb cohen; m lapata,"Automatic phrase mining, phrase mining, distant training, part-of-speech tag, multiple languages","Topic-Aware Convolutional Neural Networks, Extreme Summarization",262
applying lda topic modeling in communication research: toward a valid and reliable methodology,health communication through news media during the early stage of the covid-19 outbreak in china: digital topic modeling approach,d maier; a waldherr; p miltner,q liu; z zheng; j zheng; q chen; g liu; s chen,"Content analysis, Communication research methods, Validity, Reliability, Textual analysis",coronavirus (150); COVID-19 (933); outbreak (47); health communication (36); mass media (4); public crisis (1); topic modeling (21) ,150
detecting latent topics and trends in educational technologies over four decades using structural topic modeling: a retrospective of all volumes of computers …,heterogeneous graph attention networks for semi-supervised short text classification,x chen; d zou; g cheng; h xie,h linmei; t yang; c shi; h ji; x li,Applications in subject areas Data science applications in education,"Heterogeneous Graph Attention Networks, Semi-supervised Short Text Classification",472
health communication through news media during the early stage of the covid-19 outbreak in china: digital topic modeling approach,social media mining for product planning: a product opportunity mining approach based on topic modeling and sentiment analysis,q liu; z zheng; j zheng; q chen; g liu; s chen,b jeong; j yoon; jm lee,coronavirus (150); COVID-19 (933); outbreak (47); health communication (36); mass media (4); public crisis (1); topic modeling (21) ,Product opportunity New product development Social media mining Opportunity algorithm Topic modeling Sentiment analysis,640
toward understanding the topical structure of hospitality literature: applying machine learning and traditional statistics,cistopic: cis-regulatory topic modeling on single-cell atac-seq data,e park; b chae; j kwon,c bravo gonzález-blas; l minnoye; d papasokrati,"topical structure modeling, topic modeling","cis-Regulator, topic modeling",1214
the effect of online reviews on product sales: a joint sentiment-topic analysis,"trends and trajectories for explainable, accountable and intelligible systems: an hci research agenda",x li; c wu; f mai,a abdul; j vermeulen; d wang; by lim,"eWOM, electronic word-of-mouth, star rating, textual sentiment, topical sentiment, product reviews, sales, joint sentiment-topic analysis, JST, mediation analysis",Intelligibility; explanations; explainable artificial intelligence; interpretable machine learning.,1153
"don't give me the details, just the summary! topic-aware convolutional neural networks for extreme summarization",stm: an r package for structural topic models,s narayan; sb cohen; m lapata,me roberts; bm stewart; d tingley,"Topic-Aware Convolutional Neural Networks, Extreme Summarization","Structural Topic Model, Topic Modeling, Text Classifications",550
"read, watch, listen, and summarize: multi-modal summarization for asynchronous text, image, audio and video",short-text topic modeling via non-negative matrix factorization enriched with local word-context correlations,h li; j zhu; c ma; j zhang,t shi; k kang; j choo; ck reddy,"Summarization, Multimedia, Multi-modal, Cross-modal, Natural language processing, Computer vision","Topic modeling, short texts, non-negative matrix factorization, word embedding",928
diachronic word embeddings and semantic shifts: a survey,facebook language predicts depression in medical records,a kutuzov; l øvrelid; t szymanski; e velldal,jc eichstaedt; rj smith,"Word Embedding, Semantic Shift, Topic Modelling ","big data, depression, social media, Facebook, screening",488
the utility of topic modelling for discourse studies: a critical evaluation,what do hotel customers complain about? text analysis using structural topic model,g brookes; t mcenery,n hu; t zhang; b gao; i bose,"Corpus linguistics, corpus-assisted discourse studies, latent Dirichlet allocation, patient feedback, topic modelling",Online hotel reviews Customer dissatisfaction Structural topic model Text mining Tripadviso,1170
applying lda topic modeling in communication research: toward a valid and reliable methodology,"deep learning: a comprehensive overview on techniques, taxonomy, applications and research directions",d maier; a waldherr; p miltner,ih sarker,"Content analysis, Communication research methods, Validity, Reliability, Textual analysis","Deep learning, Artifcial neural network, Artifcial intelligence, Discriminative learning, Generative learning, Hybrid learning, Intelligent systems",146
"deep learning: a comprehensive overview on techniques, taxonomy, applications and research directions",policy diffusion: the issue‐definition stage,ih sarker,f gilardi; cr shipan; b wüest,"Deep learning, Artifcial neural network, Artifcial intelligence, Discriminative learning, Generative learning, Hybrid learning, Intelligent systems","Policy Diffusion, Topic Modeling, Definion Stage",402
"real-time crash prediction models: state-of-the-art, design pathways and ubiquitous requirements",what is wrong with topic modeling? and how to fix it using search-based software engineering,m hossain; m abdel-aty; ma quddus,a agrawal; w fu; t menzies,ITS Real-time crash prediction model Design pathway Universal design requirements,"Topic modeling, Stability, LDA, tuning, differential evolution",954
the effect of online reviews on product sales: a joint sentiment-topic analysis,cistopic: cis-regulatory topic modeling on single-cell atac-seq data,x li; c wu; f mai,c bravo gonzález-blas; l minnoye; d papasokrati,"eWOM, electronic word-of-mouth, star rating, textual sentiment, topical sentiment, product reviews, sales, joint sentiment-topic analysis, JST, mediation analysis","cis-Regulator, topic modeling",1148
health communication through news media during the early stage of the covid-19 outbreak in china: digital topic modeling approach,policy diffusion: the issue‐definition stage,q liu; z zheng; j zheng; q chen; g liu; s chen,f gilardi; cr shipan; b wüest,coronavirus (150); COVID-19 (933); outbreak (47); health communication (36); mass media (4); public crisis (1); topic modeling (21) ,"Policy Diffusion, Topic Modeling, Definion Stage",659
detecting latent topics and trends in educational technologies over four decades using structural topic modeling: a retrospective of all volumes of computers …,textured interfaces in monolithic perovskite/silicon tandem solar cells: advanced light management for improved efficiency and energy yield,x chen; d zou; g cheng; h xie,m jošt; e köhnen; ab morales-vilches,Applications in subject areas Data science applications in education,"textured interfaces, solar cells, advance light management",463
applying lda topic modeling in communication research: toward a valid and reliable methodology,top concerns of tweeters during the covid-19 pandemic: infoveillance study,d maier; a waldherr; p miltner,a abd-alrazaq; d alhuwail; m househ; m hamdi,"Content analysis, Communication research methods, Validity, Reliability, Textual analysis","coronavirus, COVID-19; SARS-CoV-2 (144); 2019-nCov (8); social media (329); public health (216); Twitter (67); infoveillance (78); infodemiology (134); health informatics (20); disease surveillance (7) ",186
framing covid-19: how we conceptualize and discuss the pandemic on twitter,the effect of online reviews on product sales: a joint sentiment-topic analysis,p wicke; mm bolognesi,x li; c wu; f mai,"Coronavirus, COVID-19, Natural Language Processing, Topic modeling, Deep Learning","eWOM, electronic word-of-mouth, star rating, textual sentiment, topical sentiment, product reviews, sales, joint sentiment-topic analysis, JST, mediation analysis",608
applications of deep learning in stock market prediction: recent progress,"sharp nearby, fuzzy far away: how neural language models use context",w jiang,u khandelwal; h he; p qi; d jurafsky,Stock market prediction Deep learning Machine learning Feedforward neural network Convolutional neural network Recurrent neural network ,"Fuzzy, Topic Modelling, Neutral Language Model",143
leveraging deep learning with lda-based text analytics to detect automobile insurance fraud,top concerns of tweeters during the covid-19 pandemic: infoveillance study,y wang; w xu,a abd-alrazaq; d alhuwail; m househ; m hamdi,"Insurance Fraud, Fraud Detection, Text Analytics, Topic Modeling, Deep Learning","coronavirus, COVID-19; SARS-CoV-2 (144); 2019-nCov (8); social media (329); public health (216); Twitter (67); infoveillance (78); infodemiology (134); health informatics (20); disease surveillance (7) ",751
research trends on big data in marketing: a text mining and topic modeling based literature analysis,the utility of topic modelling for discourse studies: a critical evaluation,a amado; p cortez; p rita; s moro,g brookes; t mcenery,Big data Marketing Literature analysis Research trends Text mining,"Corpus linguistics, corpus-assisted discourse studies, latent Dirichlet allocation, patient feedback, topic modelling",981
aspect-aware latent factor model: rating prediction with ratings and reviews,"multi-co-training for document classification using various document representations: tf–idf, lda, and doc2vec",z cheng; y ding; l zhu; m kankanhalli,d kim; d seo; s cho; p kang,"Aspect-aware, Matrix Factorization, Recommendation, Review-aware, Topic Model","Document classification, Semi-Supervised Learning, TF–IDF, LDA, Doc2Vec, Co-Training",197
policy diffusion: the issue‐definition stage,topic modeling in management research: rendering new theory from textual data,f gilardi; cr shipan; b wüest,tr hannigan; rfj haans; k vakili,"Policy Diffusion, Topic Modeling, Definion Stage","topic modeling, management theory, rendering, text analysis, big data, theory building, qualitative analysis, mixed methods",883
"benchmarking zero-shot text classification: datasets, evaluation and entailment approach","social media analytics–challenges in topic discovery, data collection, and data preparation",w yin; j hay; d roth,s stieglitz; m mirbabaie; b ross,"Classification, Topic Modelling, Zero-shot text",Social media analytics Social media Information systems Big data,279
"benchmarking zero-shot text classification: datasets, evaluation and entailment approach",toward understanding the topical structure of hospitality literature: applying machine learning and traditional statistics,w yin; j hay; d roth,e park; b chae; j kwon,"Classification, Topic Modelling, Zero-shot text","topical structure modeling, topic modeling",293
text mining in organizational research,"trends and trajectories for explainable, accountable and intelligible systems: an hci research agenda",vb kobayashi; st mol; ha berkers,a abdul; j vermeulen; d wang; by lim,"text mining, dimensionality reduction, clustering, topic modeling, classification, validation, job analysis",Intelligibility; explanations; explainable artificial intelligence; interpretable machine learning.,1112
"deep learning: a comprehensive overview on techniques, taxonomy, applications and research directions",topic compositional neural language model,ih sarker,w wang; z gan; w wang; d shen,"Deep learning, Artifcial neural network, Artifcial intelligence, Discriminative learning, Generative learning, Hybrid learning, Intelligent systems","Neural Language Model, Topic Compositional, Topic Modeling",400
applications of deep learning in stock market prediction: recent progress,"multi-co-training for document classification using various document representations: tf–idf, lda, and doc2vec",w jiang,d kim; d seo; s cho; p kang,Stock market prediction Deep learning Machine learning Feedforward neural network Convolutional neural network Recurrent neural network ,"Document classification, Semi-Supervised Learning, TF–IDF, LDA, Doc2Vec, Co-Training",122
aspect-aware latent factor model: rating prediction with ratings and reviews,topic modeling in management research: rendering new theory from textual data,z cheng; y ding; l zhu; m kankanhalli,tr hannigan; rfj haans; k vakili,"Aspect-aware, Matrix Factorization, Recommendation, Review-aware, Topic Model","topic modeling, management theory, rendering, text analysis, big data, theory building, qualitative analysis, mixed methods",202
"network-oriented modeling for adaptive networks: designing higher-order adaptive biological, mental and social network models","the mythos of model interpretability: in machine learning, the concept of interpretability is both important and slippery.",j treur,zc lipton,"Topic modeling, Network-Oriented Modeling, Adaptive Network","Machine larning, Model Interpretability",835
automated phrase mining from massive text corpora,cistopic: cis-regulatory topic modeling on single-cell atac-seq data,j shang; j liu; m jiang; x ren,c bravo gonzález-blas; l minnoye; d papasokrati,"Automatic phrase mining, phrase mining, distant training, part-of-speech tag, multiple languages","cis-Regulator, topic modeling",246
"the mythos of model interpretability: in machine learning, the concept of interpretability is both important and slippery.",top concerns of tweeters during the covid-19 pandemic: infoveillance study,zc lipton,a abd-alrazaq; d alhuwail; m househ; m hamdi,"Machine larning, Model Interpretability","coronavirus, COVID-19; SARS-CoV-2 (144); 2019-nCov (8); social media (329); public health (216); Twitter (67); infoveillance (78); infodemiology (134); health informatics (20); disease surveillance (7) ",1163
"deep learning: a comprehensive overview on techniques, taxonomy, applications and research directions","network-oriented modeling for adaptive networks: designing higher-order adaptive biological, mental and social network models",ih sarker,j treur,"Deep learning, Artifcial neural network, Artifcial intelligence, Discriminative learning, Generative learning, Hybrid learning, Intelligent systems","Topic modeling, Network-Oriented Modeling, Adaptive Network",384
no longer lost in translation: evidence that google translate works for comparative bag-of-words text applications,"trends and trajectories for explainable, accountable and intelligible systems: an hci research agenda",e de vries; m schoonvelde; g schumacher,a abdul; j vermeulen; d wang; by lim,"automated content analysis, statistical analysis of texts, bag-of-words models, Google Translate, LDA",Intelligibility; explanations; explainable artificial intelligence; interpretable machine learning.,854
aspect-aware latent factor model: rating prediction with ratings and reviews,"don't give me the details, just the summary! topic-aware convolutional neural networks for extreme summarization",z cheng; y ding; l zhu; m kankanhalli,s narayan; sb cohen; m lapata,"Aspect-aware, Matrix Factorization, Recommendation, Review-aware, Topic Model","Topic-Aware Convolutional Neural Networks, Extreme Summarization",219
health communication through news media during the early stage of the covid-19 outbreak in china: digital topic modeling approach,"network-oriented modeling for adaptive networks: designing higher-order adaptive biological, mental and social network models",q liu; z zheng; j zheng; q chen; g liu; s chen,j treur,coronavirus (150); COVID-19 (933); outbreak (47); health communication (36); mass media (4); public crisis (1); topic modeling (21) ,"Topic modeling, Network-Oriented Modeling, Adaptive Network",641
academic influence aware and multidimensional network analysis for research collaboration navigation based on scholarly big data,"social media analytics–challenges in topic discovery, data collection, and data preparation",x zhou; w liang; i kevin; k wang,s stieglitz; m mirbabaie; b ross,"Multidimensional network analysis, academic influence, scholarly big data, scholarly recommendation, research collaboration",Social media analytics Social media Information systems Big data,1
applications of deep learning in stock market prediction: recent progress,public perception of the covid-19 pandemic on twitter: sentiment analysis and topic modeling study,w jiang,s boon-itt; y skunkan,Stock market prediction Deep learning Machine learning Feedforward neural network Convolutional neural network Recurrent neural network ,COVID-19; Twitter; social media; infoveillance; infodemiology; infodemic; data; health informatics; mining; perception; topic modeling,112
"latent dirichlet allocation (lda) and topic modeling: models, applications, a survey",research trends on big data in marketing: a text mining and topic modeling based literature analysis,h jelodar; y wang; c yuan; x feng; x jiang,a amado; p cortez; p rita; s moro,"Topic modeling, Latent Dirichlet allocation, Tag recommendation, Semantic web, Gibbs sampling",Big data Marketing Literature analysis Research trends Text mining,698
"real-time crash prediction models: state-of-the-art, design pathways and ubiquitous requirements",text similarity in vector space models: a comparative study,m hossain; m abdel-aty; ma quddus,o shahmirzadi; a lugowski,ITS Real-time crash prediction model Design pathway Universal design requirements,"text similarity, vector space model, text embedding, patent, big data",951
stock movement prediction from tweets and historical prices,toward understanding the topical structure of hospitality literature: applying machine learning and traditional statistics,y xu; sb cohen,e park; b chae; j kwon,"Twitter, Stock Price, Topic Modelling","topical structure modeling, topic modeling",1102
deep sentiment classification and topic discovery on novel coronavirus or covid-19 online discussions: nlp using lstm recurrent neural network approach,topic compositional neural language model,h jelodar; y wang; r orji,w wang; z gan; w wang; d shen,"Coronavirus, COVID-19, Natural Language Processing, Topic modeling, Deep Learning","Neural Language Model, Topic Compositional, Topic Modeling",441
health communication through news media during the early stage of the covid-19 outbreak in china: digital topic modeling approach,mapping the anti-vaccination movement on facebook,q liu; z zheng; j zheng; q chen; g liu; s chen,n smith; t graham,coronavirus (150); COVID-19 (933); outbreak (47); health communication (36); mass media (4); public crisis (1); topic modeling (21) ,Anti-vaccination; social network analysis; topic modelling; social network sites; social media,663
text mining in organizational research,toward understanding the topical structure of hospitality literature: applying machine learning and traditional statistics,vb kobayashi; st mol; ha berkers,e park; b chae; j kwon,"text mining, dimensionality reduction, clustering, topic modeling, classification, validation, job analysis","topical structure modeling, topic modeling",1119
