ltable_title,rtable_title,ltable_authors,rtable_authors,ltable_keywords,rtable_keywords,_id
policy diffusion: the issue‐definition stage,textured interfaces in monolithic perovskite/silicon tandem solar cells: advanced light management for improved efficiency and energy yield,f gilardi; cr shipan; b wüest,m jošt; e köhnen; ab morales-vilches,"Policy Diffusion, Topic Modeling, Definion Stage","textured interfaces, solar cells, advance light management",897
facebook language predicts depression in medical records,"social media analytics–challenges in topic discovery, data collection, and data preparation",jc eichstaedt; rj smith,s stieglitz; m mirbabaie; b ross,"big data, depression, social media, Facebook, screening",Social media analytics Social media Information systems Big data,564
mapping the anti-vaccination movement on facebook,research trends on big data in marketing: a text mining and topic modeling based literature analysis,n smith; t graham,a amado; p cortez; p rita; s moro,Anti-vaccination; social network analysis; topic modelling; social network sites; social media,Big data Marketing Literature analysis Research trends Text mining,776
automated phrase mining from massive text corpora,mapping the anti-vaccination movement on facebook,j shang; j liu; m jiang; x ren,n smith; t graham,"Automatic phrase mining, phrase mining, distant training, part-of-speech tag, multiple languages",Anti-vaccination; social network analysis; topic modelling; social network sites; social media,241
academic influence aware and multidimensional network analysis for research collaboration navigation based on scholarly big data,"deep learning: a comprehensive overview on techniques, taxonomy, applications and research directions",x zhou; w liang; i kevin; k wang,ih sarker,"Multidimensional network analysis, academic influence, scholarly big data, scholarly recommendation, research collaboration","Deep learning, Artifcial neural network, Artifcial intelligence, Discriminative learning, Generative learning, Hybrid learning, Intelligent systems",13
"benchmarking zero-shot text classification: datasets, evaluation and entailment approach",facebook language predicts depression in medical records,w yin; j hay; d roth,jc eichstaedt; rj smith,"Classification, Topic Modelling, Zero-shot text","big data, depression, social media, Facebook, screening",315
framing covid-19: how we conceptualize and discuss the pandemic on twitter,health communication through news media during the early stage of the covid-19 outbreak in china: digital topic modeling approach,p wicke; mm bolognesi,q liu; z zheng; j zheng; q chen; g liu; s chen,"Coronavirus, COVID-19, Natural Language Processing, Topic modeling, Deep Learning",coronavirus (150); COVID-19 (933); outbreak (47); health communication (36); mass media (4); public crisis (1); topic modeling (21) ,600
"deep learning: a comprehensive overview on techniques, taxonomy, applications and research directions",the utility of topic modelling for discourse studies: a critical evaluation,ih sarker,g brookes; t mcenery,"Deep learning, Artifcial neural network, Artifcial intelligence, Discriminative learning, Generative learning, Hybrid learning, Intelligent systems","Corpus linguistics, corpus-assisted discourse studies, latent Dirichlet allocation, patient feedback, topic modelling",387
applying lda topic modeling in communication research: toward a valid and reliable methodology,social media mining for product planning: a product opportunity mining approach based on topic modeling and sentiment analysis,d maier; a waldherr; p miltner,b jeong; j yoon; jm lee,"Content analysis, Communication research methods, Validity, Reliability, Textual analysis",Product opportunity New product development Social media mining Opportunity algorithm Topic modeling Sentiment analysis,166
"network-oriented modeling for adaptive networks: designing higher-order adaptive biological, mental and social network models",text similarity in vector space models: a comparative study,j treur,o shahmirzadi; a lugowski,"Topic modeling, Network-Oriented Modeling, Adaptive Network","text similarity, vector space model, text embedding, patent, big data",840
academic influence aware and multidimensional network analysis for research collaboration navigation based on scholarly big data,"multi-co-training for document classification using various document representations: tf–idf, lda, and doc2vec",x zhou; w liang; i kevin; k wang,d kim; d seo; s cho; p kang,"Multidimensional network analysis, academic influence, scholarly big data, scholarly recommendation, research collaboration","Document classification, Semi-Supervised Learning, TF–IDF, LDA, Doc2Vec, Co-Training",20
health communication through news media during the early stage of the covid-19 outbreak in china: digital topic modeling approach,no longer lost in translation: evidence that google translate works for comparative bag-of-words text applications,q liu; z zheng; j zheng; q chen; g liu; s chen,e de vries; m schoonvelde; g schumacher,coronavirus (150); COVID-19 (933); outbreak (47); health communication (36); mass media (4); public crisis (1); topic modeling (21) ,"automated content analysis, statistical analysis of texts, bag-of-words models, Google Translate, LDA",646
the effect of online reviews on product sales: a joint sentiment-topic analysis,topic modeling in embedding spaces,x li; c wu; f mai,ab dieng; fjr ruiz; dm blei,"eWOM, electronic word-of-mouth, star rating, textual sentiment, topical sentiment, product reviews, sales, joint sentiment-topic analysis, JST, mediation analysis","Embeeding Space, Topic Modeling",1154
"network-oriented modeling for adaptive networks: designing higher-order adaptive biological, mental and social network models","read, watch, listen, and summarize: multi-modal summarization for asynchronous text, image, audio and video",j treur,h li; j zhu; c ma; j zhang,"Topic modeling, Network-Oriented Modeling, Adaptive Network","Summarization, Multimedia, Multi-modal, Cross-modal, Natural language processing, Computer vision",831
facebook language predicts depression in medical records,"trends and trajectories for explainable, accountable and intelligible systems: an hci research agenda",jc eichstaedt; rj smith,a abdul; j vermeulen; d wang; by lim,"big data, depression, social media, Facebook, screening",Intelligibility; explanations; explainable artificial intelligence; interpretable machine learning.,562
topic compositional neural language model,what is wrong with topic modeling? and how to fix it using search-based software engineering,w wang; z gan; w wang; d shen,a agrawal; w fu; t menzies,"Neural Language Model, Topic Compositional, Topic Modeling","Topic modeling, Stability, LDA, tuning, differential evolution",1194
heterogeneous graph attention networks for semi-supervised short text classification,stm: an r package for structural topic models,h linmei; t yang; c shi; h ji; x li,me roberts; bm stewart; d tingley,"Heterogeneous Graph Attention Networks, Semi-supervised Short Text Classification","Structural Topic Model, Topic Modeling, Text Classifications",686
"real-time crash prediction models: state-of-the-art, design pathways and ubiquitous requirements",toward understanding the topical structure of hospitality literature: applying machine learning and traditional statistics,m hossain; m abdel-aty; ma quddus,e park; b chae; j kwon,ITS Real-time crash prediction model Design pathway Universal design requirements,"topical structure modeling, topic modeling",957
